ASIN,Product_Name,Nutritional_Values,Ingredients,Value_Proposition,Key_Labels,Primary_Colors,Secondary_Colors,Intended_Segment,Additional_Notes
B089P347JH,Evolution WP100 Proteína de Suero Chocolate,Calorías: 96; Proteínas: 24g; Grasas: 0g; Carbohidratos: 0g; Azúcares: 0g,Proteína microfiltrada de suero de leche; proteína ultrafiltrada de suero de leche; cocoa natural; cloruro de sodio; goma guar; saborizante natural; goma xantana; lecitina de soya; sucralosa (0.11g/100g); vitaminas (A; B2; B6; B12; C; D y E),80% proteína por porción; 18 aminoácidos; gluten free; 100% mexicana,Libre de azúcar; Sin aspartame; Gluten free; 100% mexicana; 18 aminoácidos,Negro,Amarillo,Atletas; Fisiculturistas; Personas activas,"1400g contenido, 42.7 porciones, 11 vitaminas y minerales, más de 10 sabores disponibles"
B08M5HHM23,Alpura PRO Leche Deslactosada,Calorías: 112; Proteínas: 13g; Grasas totales: 1.2g; Carbohidratos: 12.2g; Azúcares: 12.2g,Leche descremada; deslactosada; ultrafiltrada; ultrapasteurizada; adicionada con vitaminas A y D; baja en grasa,70% más proteína; 70% menos grasa; fortalece masa muscular; aporta energía y calcio,Deslactosada; 70% más proteína; Baja en grasa; Fortificada,Negro,Morado,Atletas; Personas intolerantes a lactosa; Familias activas,"1L contenido, 70% más proteína vs Alpura Light, vitaminas A y D adicionadas"
B092CKG3Q8,HABITS Proteína Vegana Probiótica Cacao,Calorías: 111; Proteínas: 22.3g; Grasas: 1.9g; Carbohidratos: 1.0g; Fibra: 0g; Azúcares: 0.27g,Concentrado de proteína vegetal (chícharo y arroz integral); cocoa; sabor natural cacao; sal rosa del Himalaya; probióticos (Lactobacillus acidophilus y Bifidobacterium bifidum); y stevia (Stevia rebaudiana 240 mg/100g),Proteína vegana hecha con ingredientes limpios y sencillos con 610 millones de probióticos,Vegano; Sin gluten; Sin ingredientes artificiales; Sin rellenos; Probiótico,Marrón,Blanco,Veganos; Atletas; Personas conscientes de la salud,"22.3g proteína por porción, 610 millones probióticos, marca: by not a fancy kitchen"
B097ZB2K23,Nepro Low Prot Sabor Vainilla,Calorías: 182 kcal por 237ml; Proteínas: 4.47g; Grasas: 9.58g; Carbohidratos: 19.58g; Fibra: 0g,Caseína; aceite de canola; maltodextrina; sacarosa; aceite de girasol; lecitina de soja; vitaminas; minerales; carnitina; taurina,Fórmula especializada baja en proteína para pacientes renales,Bajo en proteína; Bajo en sodio; Bajo en potasio; Bajo en fósforo; Con fibra,Blanco,Dorado,Pacientes con enfermedad renal crónica sin diálisis,237ml por lata. 24 piezas por caja. Fórmula especializada médica
B09HSQ1JQM,Elemental Performance Creatina Monohidratada,Calorías: 17.80 kcal por porción; Proteínas: 4.44g; Grasas: 0g; Carbohidratos: 0g; Sodio: 0.38mg; Creatina: 5g,Creatina monohidratada,Suplemento de creatina pura para rendimiento deportivo,Monohidratada; Micronizada; Sin saborizantes; Alta pureza; Sin rellenos,Negro,Azul,Atletas y deportistas,90 porciones por envase. Certificada por laboratorio. Calidad farmacéutica
B09M3WJRGB,Premier Protein Café Latte,Calorías: 160; Proteínas: 30g; Grasas: 3g; Carbohidratos: 5g; Azúcar: 1g; Fibra: 2g,Agua; concentrado de proteína de leche; caseinato de calcio; sabores naturales y artificiales; extracto de café; cafeína; celulosa; vitaminas; minerales,Batido de proteína listo para beber con cafeína equivalente a 1 taza de café,Alto en proteína; Bajo en azúcar; Sin gluten; Sin ingredientes de soya; Keto friendly,Blanco,Verde,Personas activas y profesionales ocupados,30g de proteína. Equivalente a 1 taza de café. 15 unidades por pack
B09PC5B45R,HABITS Proteína Vegana Probiótica Maca Cacao,Calorías: 103; Proteínas: 20.3g; Grasas: 1.83g; Carbohidratos: 1.97g; Fibra: 0g; Azúcares: 0.47g,Concentrado de proteína vegetal (chícharo y arroz integral); cocoa; maca (Lepidium meyenii); sabor natural cacao; canela en polvo (Cinnamomum zeylanicum); sal rosa del Himalaya; probióticos (Lactobacillus acidophilus y Bifidobacterium bifidum); y stevia (Stevia rebaudiana 230 mg/100g),Puede equilibrar hormonas; ayudar con el estrés; mejorar el libido,Vegano; Sin gluten; Sin ingredientes artificiales; Sin lácteos; Probiótico,Amarillo,Blanco,Mujeres; Atletas; Personas con estrés,"20.3g proteína por porción, 610 millones probióticos, con maca para equilibrio hormonal"
B0B8R6P8ZJ,Wild Protein Chocolate Cocoa Bar,Calorías: 150; Proteínas: 15g; Grasas: 3.5g; Carbohidratos: 21g; Fibra: 1g; Azúcar: 6g; Alcoholes de azúcar: 8g,Proteína de soya aislada; coco; almidón de tapioca; dátiles; maltitol; proteína de suero; pasta de cacao; mantequilla de maní; sabor artificial,Barra de proteína sin azúcar añadido con sabor a chocolate,Sin azúcar añadido; Alto en proteína; Sin jarabe de maíz; No transgénico,Negro,Dorado,Deportistas y personas que buscan snacks saludables,16 barras por caja. 45g por barra. No contiene azúcar añadido
B0BLXZ4GWD,Habits High Performance Proteína Vegetal Vainilla,Calorías: 147; Proteína: 30g; BCAAs: 6g; Carbohidratos netos: 1.5g; Fibra: 2g,Concentrado de proteína vegetal (chícharo y arroz integral); cocoa; aminoácidos de cadena ramificada; sabor natural vainilla; sal rosa del Himalaya; probióticos; stevia rebaudiana,Proteína vegana de alto rendimiento formulada por especialistas en nutrición deportiva,Vegano; Sin gluten; Probióticos; Sin azúcar; Clínicamente comprobado,Negro; Gris,Azul; Blanco,Atletas veganos; Personas conscientes de la salud,770 millones de probióticos por porción; Avalado por especialistas; Fabricado en México
B0BLY18C7M,Habits High Performance Proteína Vegetal Cacao,Calorías: 145; Proteína: 30g; BCAAs: 6g; Carbohidratos netos: 1g; Fibra: 3g,Concentrado de proteína vegetal (chícharo y arroz integral); cocoa; aminoácidos de cadena ramificada; sabor natural cacao; sal rosa del Himalaya; probióticos; stevia rebaudiana,Proteína vegana de alto rendimiento con ingredientes limpios y 770 millones de probióticos,Vegano; Sin gluten; Probióticos; Sin azúcar; Orgánico,Negro; Gris,Dorado; Blanco,Atletas veganos; Personas con restricciones alimentarias,Sin sabores artificiales; Sin rellenos; Sin lácteos; Sin soya; Fabricado en México
B0CD2PL67R,Hero Sport Pure and Natural Whey Protein,Calorías: N/A; Proteínas: 27g por porción; Grasas: 0.5g; Carbohidratos: 0.0g,Proteína aislada de suero de leche,Proteína de suero 100% aislada sin aditivos,Sin azúcar; Sin carbohidratos; Sin gluten; Sin químicos; Sin gomas; Sin soya; Sin sabor; Sin maltodextrina,Blanco,Azul y rojo,Atletas y deportistas serios,1.8kg de contenido. 90g+ aminoácidos. Más proteína que alimentos convencionales
B0CF4BLG83,Dogelthy Mobility Cadera y Articulaciones Sabor Pescado,N/A,Harina de pescado; Glucosamina HCL; Diatomita grado alimenticio; MSM (Metilsulfonilmetano); Proteína hidrolizada de pollo y/o cerdo; Condroitina SL; Colágeno hidrolizado; Vitamina C; Boswellia serrata; Cúrcuma; UC-II (Colágeno no desnaturalizado tipo II); Mezcla de ácido cítrico y vinagre blanco; Mezcla de extracto de romero y tocoferoles mixtos,Suplemento con UC-II patentado para salud articular de perros,UC-II patentado; Glucosamina; MSM; Condroitina; Veterinario,Azul; Blanco,Púrpura; Verde,Perros con problemas articulares; Perros senior; Dueños preocupados por movilidad canina,"270gr, formulado por veterinarios, sin conservadores artificiales, ingredientes naturales, uso veterinario"
B0CF63JSS9,Dogelthy Pure Salmon Oil,N/A (suplemento para mascotas),Aceite puro de salmón; extracto de romero; tocoferoles mixtos,Aceite de salmón puro para soporte de piel y pelaje de perros,Ingredientes naturales; Formulado por veterinarios; Sin conservadores artificiales; Sin sabores artificiales; Sin olores artificiales; Sin colorantes; Sin rellenos; Sin granos,Azul,Naranja,Dueños de mascotas conscientes de la salud,450ml. Omega-3s EPA y DHA. Formulado con 300mg de EPA+DHA por dosis
B0CJ2KX7DL,King Protein Proteína Aislada de Suero Sin Sabor,Calorías: 113; Proteína: 27g; Carbohidratos: 0g; Azúcares: 0g; Grasas: 0.5g,Proteína aislada de suero de leche hidrolizada 100% pura,Proteína 100% pura; limpia; versátil y sin sabor para máxima flexibilidad,Sin sabor; Sin azúcar; Sin carbohidratos; BCAAs orgánicos; Botella free,Negro; Blanco,Azul; Verde,Atletas serios; Personas en dieta cetogénica,900g; 30 porciones; Sin químicos; Sin conservadores; Múltiples certificaciones de calidad
B0D2729DGT,Fitmingo Proteína Vegetal Sabor Vainilla,Calorías: 140; Proteínas: 24g; Grasas: 3g; Carbohidratos: 3.1g; Sodio: 340mg; Potasio: 115mg,Proteína de chícharo; Inositol; Svetol (extracto de café verde); Descafeinado; OPTIZIOME P3 Hydrolyzer; Mezcla de enzimas digestivas; Pureway C (vitamina C); Lecitina de girasol; Ácido hialurónico; Stevia; Concentrado de fruta monje; Zincnova (óxido de zinc microencapsulado); Vitamina A; Vitamina D3; Saborizantes naturales,"Proteína vegetal con 24g proteína, Svetol, ácido hialurónico e inositol para equilibrio integral",Proteína vegetal; 24g proteína; 540mg Svetol; Ácido hialurónico; 1g inositol,Rosa; Blanco,Amarillo; Negro,Mujeres activas; Veganos; Personas interesadas en bienestar integral,"Contiene 1.7kg, mezclas patentadas Fit Blend, Beauty Blend y Balance Blend. Sin azúcar añadida, endulzado con monk fruit y stevia"
