Product Name,Brand,Category,Cantidad de Búsquedas,Término de Búsqueda,Price,Avg. Price per Mo,Net Margin,LQS,# of Reviews,Rating,Min. Price,Net,FBA Fees,Score for PL,Score for Reselling,# of Sellers,Rank,Avg. BSR per Mo,Inventory,Est. Sales,Est. Revenue,Page Sales Share,Page Rev. Share,Rev. per Review,Profit Potential,Available from,Best Seller in ,A+,Weight,Seller Type,Variants,ASIN,URL
"Dogelthy Mobility. Suplemento para Perros con Glucosamina, Condroitina y Colageno Tipo 2 UCII. Complemento para Croquetas o Dieta Barf 270g. (Pescado)",Dogelthy,Productos para animales,2,Proteina Pet Care | Proteina Pet Care Vegano,989,945,78,82,1468,4.6,989,774.27,214.73,7,0,1,21,21,100,2000,1978000,9.5%,9.98%,1347,1548540,8/8/2023,,TRUE,0.75,FBA,1,B0CF4BLG83,https://www.amazon.com.mx/dp/B0CF4BLG83
BIRDMAN Falcon Protein Proteína Vegana Orgánica en Polvo | 7 Fuentes Vegetales | Con Enzimas y Probióticos | Sin Gluten | Sin Lácteos | Hipoalérgenico | Sabor Chocolate | 60 Porciones | 1.8kg,BIRDMAN,Salud y Cuidado Personal,6,Proteina Alta En Fibra Bajo En Sodio | Proteina Baja En Sodio | Proteina Cosmetica | Proteina De Levadura | Proteina Nutraceutico | Proteina Sarcopenia,1396,1486.68,79,84,6354,4.7,1396,1103.7,292.3,7,10,9,151,115,30,1368,1748082,5.24%,8.36%,275,167762.4,10/21/2018,,TRUE,4.1,FBA,2,B07JXZBL71,https://www.amazon.com.mx/dp/B07JXZBL71
BIRDMAN Falcon Protein Proteína Vegana Orgánica en Polvo | 7 Fuentes Vegetales | Con Enzimas y Probióticos | Sin Gluten | Sin Lácteos | Hipoalérgenico | Sabor Vainilla | 60 Porciones | 1.8kg,BIRDMAN,Salud y Cuidado Personal,2,Proteina Alta En Fibra Bajo En Sodio | Proteina Pet Care Vegano,1289,1471.09,79,84,6354,4.7,1289,1013.53,275.47,7,9,11,151,115,30,1379,1705819,0%,0%,268,127059.81,10/20/2018,,TRUE,4.1,FBA,2,B07JQ1G8FQ,https://www.amazon.com.mx/dp/B07JQ1G8FQ
"EVOLUTION, Proteína de Suero de Leche, WP100, Whey Protein, 18 Aminoácidos, Sin Gluten, Sugar Free, Post Workout, Sabor Chocolate, 42.7 Porciones, 1400g",ENC EVOLUTION NUTRACEUTICAL COMPANY,Salud y Cuidado Personal,6,Proteina Alta En Fibra Bajo En Sodio | Proteina Baja En Sodio | Proteina Cosmetica | Proteina De Levadura | Proteina Nutraceutico | Proteina Sarcopenia,1040,985.13,77,84,4068,4.7,1040,803.46,236.54,7,0,1,349,193,75,1537,1492661,5.89%,7.14%,367,1234918.02,1/27/2020,,TRUE,3.53,FBA,1,B089P347JH,https://www.amazon.com.mx/dp/B089P347JH
"Alpura Pro con extra proteína Deslactosada Ultrapasteurizada en Paquete de 12 piezas de 1 Litro cada una, Fuente de proteína y Calcio, baja en grasa, adicionada con Vitaminas A y D",Alpura,Alimentos y Bebidas,1,Proteina Baja En Sodio,492,421.97,52,87,814,4.6,492,256.31,235.69,5,10,2,9,17,0,3000,1476000,8.58%,4.25%,1813,384465,11/15/2020,,TRUE,29.15,MCH,1,B08M5HHM23,https://www.amazon.com.mx/dp/B08M5HHM23
"Sascha Fitness Suplemento Alimenticio Proteína sabor Vainilla, 907 gr",SASCHA FITNESS,Salud y Cuidado Personal,3,Proteina Cosmetica | Proteina Nutraceutico | Proteina Sarcopenia,1549,1488.31,80,68,23856,4.6,1549,1238.94,310.06,6,10,2,209,210,30,760,1455607,3.08%,6.25%,61,470797.2,4/24/2016,,TRUE,2.62,MCH,7,B01BODRE50,https://www.amazon.com.mx/dp/B01BODRE50
"Sascha Fitness Isolate Bote de Proteína, 100% proteína GRASS-FED, Sabor Chocolate, 986 g",SASCHA FITNESS,Salud y Cuidado Personal,1,Proteina Pet Care Vegano,1549,1508.34,80,67,23856,4.6,1549,1239.02,309.98,6,10,2,209,210,30,762,1180338,3.62%,5.95%,49,472066.62,3/14/2016,,TRUE,2.6,MCH,7,B01BODRE6Y,https://www.amazon.com.mx/dp/B01BODRE6Y
Dymatize - Proteína hidrolizada en polvo. ISO100 Gourmet Vainilla 2.3Kg,Dymatize,Salud y Cuidado Personal,3,Proteina Baja En Sodio | Proteina Cosmetica | Proteina Nutraceutico,1835,1829,80,87,6912,4.7,1835,1470.52,364.48,7,10,5,260,283,30,604,1112533,0%,0%,161,177638.82,8/7/2012,,TRUE,5.73,FBA,1,B00G6QHYZ6,https://www.amazon.com.mx/dp/B00G6QHYZ6
"HABITS BY NOT A FANCY KITCHEN | Proteína Vegetal en Polvo | Sabor Maca Cacao 488 g | 20.3 g de Proteína por Porción | Sin Azúcares Añadidos, Fuente de BCAAs, No GMO - 16 Porciones",HABITS BY NOT A FANCY KITCHEN,Salud y Cuidado Personal,2,Proteina Baja En Sodio | Proteina De Levadura,668,680,74,84,367,4.7,668,496.86,171.14,7,10,2,111,95,420,1419,947892,5.44%,4.53%,2583,352522.17,12/27/2021,,TRUE,1.34,FBA,4,B09PC5B45R,https://www.amazon.com.mx/dp/B09PC5B45R
"HABITS BY NOT A FANCY KITCHEN | Proteína Vegetal en Polvo | Sabor Cacao 488 g | 22.3 g de Proteína Por Porción | Sin Azúcares Añadidos, Fuente de BCAAs, No GMO - 16 Porciones",HABITS BY NOT A FANCY KITCHEN,Salud y Cuidado Personal,3,Proteina Alta En Fibra | Proteina Cosmetica | Proteina Sarcopenia,619,544.29,74,84,1514,4.7,619,455.22,163.78,7,10,3,111,96,25,1412,892293,5.72%,3.83%,589,214256.88,4/11/2021,,TRUE,1.41,FBA,4,B092CKG3Q8,https://www.amazon.com.mx/dp/B092CKG3Q8
Dymatize ISO 100 Proteína Hydrolyzed 5 Lbs Chocolate.,Dymatize,Salud y Cuidado Personal,2,Proteina Nutraceutico | Proteina Sarcopenia,1780,1791.05,80,71,224,4.8,1780,1424.11,355.89,9,7,7,279,356,30,487,879173.3,1.97%,3.77%,3925,99077.37,8/10/2016,,FALSE,5.69,FBA,1,B00U8HVQN0,https://www.amazon.com.mx/dp/B00U8HVQN0
"Diamond Pet Foods - Alimento seco natural para perros Diamond Naturals Skin & Coat, receta de carne auténtica, con salmón capturado en la naturaleza, 30 libras, estándar",DIAMOND NATURALS,Productos para animales,1,Proteina Pet Care,1449,1484.86,73,67,417,4.6,1449,1050.56,398.44,7,7,9,113,119,10,600,869400,4.86%,10.43%,2085,70037.33,4/1/2018,,TRUE,30.47,MCH,1,B079FHJMMG,https://www.amazon.com.mx/dp/B079FHJMMG
"Ensure Advance Vainilla en Polvo 400g, Alimentación Especializada",Ensure,Salud y Cuidado Personal,1,Proteina De Levadura,286,315.68,61,90,3139,4.8,286,175.23,110.77,6,10,4,59,68,2,2146,744013.2,8.23%,3.56%,237,94010.89,5/18/2019,,TRUE,1.1,MCH,1,B07CPDQ2D5,https://www.amazon.com.mx/dp/B07CPDQ2D5
"HABITS BY NOT A FANCY KITCHEN - High Performance - Proteína Vegana en Polvo - 30 g de Proteína Vegetal Por Porción - KETO Friendly, Libre de Gluten, Sin Azúcares Añadidos, 6g de BCAAS, 1.5 g Carbs, No GMO - Aprox. 28 Porciones Sabor Vainilla - HAB-SPV02 - 1.078 kg",HABITS BY NOT A FANCY KITCHEN,Salud y Cuidado Personal,2,Proteina Baja En Sodio | Proteina De Levadura,1219,1164.21,79,85,543,4.8,1219,958.08,260.92,7,10,2,327,447,112,536,686226.9,2.05%,3.28%,1264,256765.44,11/28/2022,,TRUE,2.82,FBA,2,B0BLXZ4GWD,https://www.amazon.com.mx/dp/B0BLXZ4GWD
"KING PROTEIN | Proteína de suero sin sabor | 27 g de proteína con BCAA | Para antes y después del entrenamiento | Sin carbohidratos, conservantes, soja ni gluten | 900g, 30 raciones",KING Protein,Alimentos y Bebidas,4,Proteina Alta En Fibra Bajo En Sodio | Proteina Baja En Sodio | Proteina Cosmetica | Proteina Sarcopenia,850,810,76,82,115,4.6,850,648.35,201.65,9,0,1,129,178,534,800,680000,3.24%,2.92%,5913,518680,9/13/2023,,TRUE,2.07,FBA,1,B0CJ2KX7DL,https://www.amazon.com.mx/dp/B0CJ2KX7DL
"HABITS BY NOT A FANCY KITCHEN - High Performance - Proteína Vegana en Polvo - 30 g de Proteína Vegetal Por Porción - KETO Friendly, Libre de Gluten, Sin Azúcares Añadidos, 6g de BCAAS, 1 g Carbs, No GMO - Aprox.28 Porciones Sabor Cacao - HAB-SPC02 - 1.078 kg",HABITS BY NOT A FANCY KITCHEN,Salud y Cuidado Personal,4,Proteina Cosmetica | Proteina Nutraceutico | Proteina Pet Care Vegano | Proteina Sarcopenia,1219,1155.29,79,84,543,4.8,1219,958.2,260.8,7,0,1,327,444,407,534,652807.4,2.16%,2.8%,1202,511678.8,11/29/2022,,TRUE,2.82,FBA,2,B0BLY18C7M,https://www.amazon.com.mx/dp/B0BLY18C7M
"HABITS BY NOT A FANCY KITCHEN | Proteína Vegetal en Polvo | Sabor Vainilla 488 g | 21.5 g de Proteína Por Porción | Sin Azúcares Añadidos | Fuente de BCAAs, No GMO 16 Porciones",HABITS BY NOT A FANCY KITCHEN,Alimentos y Bebidas,7,Proteina Alta En Fibra | Proteina Baja En Sodio | Proteina Cosmetica | Proteina De Levadura | Proteina Nutraceutico | Proteina Pet Care Vegano | Proteina Sarcopenia,619,609.8,74,84,868,4.7,619,456.22,162.78,7,10,3,55,74,30,1000,619000,3.83%,2.96%,713,152073.33,3/16/2021,,TRUE,1.32,FBA,1,B092HHCCNK,https://www.amazon.com.mx/dp/B092HHCCNK
Dymatize Elite 100% Whey 5 Lbs Sabor Gourmet Vainilla,Dymatize,Salud y Cuidado Personal,3,Proteina Cosmetica | Proteina Nutraceutico | Proteina Sarcopenia,1425,1630.75,79,84,605,4.7,1425,1122.07,302.93,7,7,5,402,396,30,459,611621.8,1.86%,2.63%,1011,103006.03,12/5/2018,,FALSE,5.78,FBA,1,B01N9VNDGT,https://www.amazon.com.mx/dp/B01N9VNDGT
"Hill's Science Diet Adult, alimento saludable perro adulto receta de cordero y arroz integral 15Kg",Hill's Science Diet,Productos para animales,2,Proteina Pet Care | Proteina Pet Care Vegano,1903.5,2210.32,75,84,9267,4.7,1903.5,1426.13,477.37,5,7,6,136,157,0,300,571050,1.43%,2.88%,62,71306.5,7/7/2013,,TRUE,33.45,MCH,6,B009IXOFOC,https://www.amazon.com.mx/dp/B009IXOFOC
Dogelthy Pure Salmon Oil 450 ml. Aceite de Salmon Omega 3 para Perros con 300 MG de EPA + DHA por Dosis. Suplemento de Aceite de Pescado para Perro. para Croquetas o Dieta Barf.,Dogelthy,Productos para animales,2,Proteina Pet Care | Proteina Pet Care Vegano,569,546.22,73,82,2354,4.6,569,415.77,153.23,7,0,1,32,26,30,1000,569000,4.75%,2.87%,242,415770,8/8/2023,,TRUE,1.08,FBA,1,B0CF63JSS9,https://www.amazon.com.mx/dp/B0CF63JSS9
"Dymatize Elite 100% Whey, Proteína de Suero de Leche, Sabor Chocolate Intenso, 2.3 kg, 25 g de Proteína por Porción, Sin Gluten, 63 porciones",Dymatize,Salud y Cuidado Personal,3,Proteina Cosmetica | Proteina Nutraceutico | Proteina Sarcopenia,1429,1326.84,79,72,9902,4.7,1429,1125.06,303.94,5,10,2,563,523,30,356,511330,1.44%,2.2%,52,200260.68,6/26/2013,,FALSE,5.78,FBA,2,B00CUDYY2U,https://www.amazon.com.mx/dp/B00CUDYY2U
"HEROSPORTS | Protein Pure and Natural 1800g. 100% Isolated Whey Protein, 27g de Proteína y 4.8g de Aminoácidos por Porción, 0 Azúcar, 0 carbs, Glutten Free, 0 Flavor, 0 Maltodextrina, 60 Servicios",HEROSPORTS,Salud y Cuidado Personal,1,Proteina De Levadura,1625,1120,80,82,341,4.6,1625,1297.97,327.03,8,0,1,766,628,180,307,486611.9,1.18%,2.33%,1427,398476.79,7/27/2023,,TRUE,4.03,FBA,8,B0CD2PL67R,https://www.amazon.com.mx/dp/B0CD2PL67R
Wild Protein | Barras altas en proteína | Sabor chocolate | Pack de 16 unidades | 15 g de proteína | Sin azúcares ni grasa añadida | 45 g cada barra,Wild Protein,Salud y Cuidado Personal,1,Proteina Nutraceutico,313.39,439.1,65,71,354,4.5,313.39,203.84,109.55,7,0,1,82,120,30,1428,479275.2,6.14%,1.78%,1354,291083.52,11/15/2022,,FALSE,1.87,MCH,1,B0B8R6P8ZJ,https://www.amazon.com.mx/dp/B0B8R6P8ZJ
"Birdman Falcon Protein Proteina Vegetal Organica En Polvo (Vegana) Certificada USDA, 24gr Proteina por porción, Sin inflamacion, Sin acne, 17 Porciones Sabor Natural | 17 servicios | 510gr",BIRDMAN,Salud y Cuidado Personal,1,Proteina Baja En Sodio,599,509.76,73,67,4418,4.6,599,438.62,160.38,6,0,1,185,251,30,666,384229.9,1.91%,1.11%,87,292120.92,9/8/2017,,TRUE,1.34,FBA,5,B075JS36F8,https://www.amazon.com.mx/dp/B075JS36F8
"HABITS BY NOT A FANCY KITCHEN | High Performance | Proteína Vegana en Polvo | Sabor Cacao 578 g | 30 g de Proteína Por Porción | Sin Azúcares Añadidos, 6g de BCAAS, 1 g Carbs, No GMO - Aprox. 15 Porciones",HABITS BY NOT A FANCY KITCHEN,Alimentos y Bebidas,2,Proteina Pet Care Vegano | Proteina Sarcopenia,729,691.93,75,84,288,4.7,729,548.59,180.41,8,10,2,122,241,72,500,364500,2.02%,1.57%,1266,137147.5,11/15/2022,,FALSE,1.54,FBA,2,B0BLXKLM56,https://www.amazon.com.mx/dp/B0BLXKLM56
"Ready Set Gourmet Baflan Premier Protein - Batido alto en proteínas, 30 g, café latte, 160 calorías, 24 vitaminas y minerales, 30 g de proteína, 1 estuche (11 fl oz, 15 unidades) y listo set gourmet dona un certificado de programa de comidas",Ready Set Gourmet,Alimentos y Bebidas,1,Proteina Sarcopenia,894,1397.33,73,91,137,4.7,894,650.89,243.11,9,7,6,317,355,30,400,357600,1.62%,1.54%,2610,43392.67,2/7/2022,,FALSE,12.28,FBA,1,B09M3WJRGB,https://www.amazon.com.mx/dp/B09M3WJRGB
"Nepro Low Prot - Caja con 24 piezas de 237ml, Sabor Vainilla, Ideal para Pacientes con Enfermedad Renal, Bajo en Sodio, Fósforo y Potasio",Nepro,Salud y Cuidado Personal,1,Proteina Baja En Sodio,1717.2,1881.28,78,78,85,4.8,1717.2,1337.85,379.35,9,7,3,1387,1094,30,189,355833.4,0.54%,1.02%,4186,84284.55,6/30/2021,,FALSE,16.09,MCH,1,B097ZB2K23,https://www.amazon.com.mx/dp/B097ZB2K23
"Elemental Creatina Monohidratada Micronizada, Hecho por PiSA, Pureza Certificada Laboratorio | 90 Servicios de 5g, 450g | Alto Rendimiento, Performance, Pre workout, Sin Sabor, Apto para Veganos",ELEMENTAL,Salud y Cuidado Personal,1,Proteina De Levadura,399,596.02,70,82,1430,4.6,399,279.61,119.39,7,10,2,267,189,10,876,349288,3.36%,1.67%,244,122469.18,10/4/2021,,TRUE,1.21,FBA,1,B09HSQ1JQM,https://www.amazon.com.mx/dp/B09HSQ1JQM
"Birdman Falcon Protein Proteina Vegetal Organica En Polvo (Vegana) Certificada USDA, 22gr Proteina por porción, Sin inflamacion, Sin acne, 17 Porciones Sabor Chai | 17 servicios | 510gr",BIRDMAN,Salud y Cuidado Personal,1,Proteina Alta En Fibra Bajo En Sodio,478.2,542.47,73,82,4418,4.6,478.2,346.95,131.25,6,10,4,185,251,30,664,344676.5,0%,0%,78,57593.7,9/8/2017,,TRUE,1.32,FBA,5,B075JRWTD3,https://www.amazon.com.mx/dp/B075JRWTD3
"Birdman Falcon Protein Proteina Vegetal Organica En Polvo (Vegana) Certificada USDA, 22gr Proteina por porción, Sin inflamacion, Sin acne, 17 Porciones Sabor Vainilla | 17 servicios | 510gr",BIRDMAN,Salud y Cuidado Personal,5,Proteina Alta En Fibra | Proteina Alta En Fibra Bajo En Sodio | Proteina Baja En Sodio | Proteina De Levadura | Proteina Nutraceutico,478.2,531.57,73,82,4418,4.6,478.2,346.92,131.28,6,10,3,185,251,30,665,341813.1,2.55%,1.64%,77,76900.6,9/8/2017,,TRUE,1.28,FBA,5,B075JS5MSW,https://www.amazon.com.mx/dp/B075JS5MSW
"HABITS HABITS BY NOT A FANCY KITCHEN - Proteína Vegana en Polvo - 24.1 g de Proteína Vegetal Por Porción - KETO Friendly, Libre de Gluten, Sin Azúcares Añadidos, Fuente de BCAAs, No GMO - 16 Porciones Sabor Natural - HAB-N01 - 488 g",HABITS BY NOT A FANCY KITCHEN,Alimentos y Bebidas,3,Proteina Baja En Sodio | Proteina Nutraceutico | Proteina Pet Care Vegano,619,635,74,85,315,4.7,619,456.21,162.79,8,10,3,114,140,258,500,309500,2.38%,1.56%,983,76035,11/27/2020,,TRUE,1.32,FBA,4,B098KKLJVH,https://www.amazon.com.mx/dp/B098KKLJVH
"HS HERO SPORT Whey Protein Sabor Chocolate 1.8kg. 100% Proteína Concentrada. 26g de Proteína por Porción, 60 Porciones, Bottle Free, Sin Lactosa, Gluten Free, 18 Aminoácidos.",HEROSPORTS,Salud y Cuidado Personal,2,Proteina Cosmetica | Proteina Nutraceutico,960,960,76,76,341,4.3,960,733.12,226.88,8,0,1,613,565,37,334,305377.7,0%,0%,896,244862.08,3/22/2022,,TRUE,4.03,FBA,8,B09WBSG47Q,https://www.amazon.com.mx/dp/B09WBSG47Q
"Birdman Falcon Protein Proteina Vegetal Organica En Polvo (Vegana) Certificada USDA, 22gr Proteina por porción, Sin inflamacion, Sin acne, Sabor Chocolate | 39 servicios | 1.170kg",BIRDMAN,Salud y Cuidado Personal,2,Proteina Baja En Sodio | Proteina Pet Care Vegano,905,899.34,76,84,3316,4.7,905,691.11,213.89,6,7,7,373,573,30,328,296840,1.56%,1.5%,90,32383.44,9/7/2017,,TRUE,3.04,FBA,3,B075JRQV6Z,https://www.amazon.com.mx/dp/B075JRQV6Z
"Birdman Falcon Protein Proteina Vegetal Organica En Polvo (Vegana) Certificada USDA, 22gr Proteina por porción, Sin inflamacion, Sin acne, Sabor Vainilla | 39 servicios | 1.170Kg",BIRDMAN,Salud y Cuidado Personal,1,Proteina De Levadura,854.2,943.27,76,84,3316,4.7,854.2,648.06,206.14,6,7,5,373,571,30,330,294947.9,1.26%,1.41%,89,42771.96,9/8/2017,,TRUE,2.98,FBA,3,B075JRNQSY,https://www.amazon.com.mx/dp/B075JRNQSY
Orgain - Proteína Vegetal En Polvo Sabor Chocolate Orgánica 21g,Orgain,Salud y Cuidado Personal,4,Proteina Cosmetica | Proteina De Levadura | Proteina Nutraceutico | Proteina Sarcopenia,773.33,1000.09,75,65,143336,4.5,773.33,581.26,192.07,6,6,11,407,536,30,348,286542.8,1.33%,1.37%,2,18388.95,6/17/2014,,FALSE,2.36,FBA,9,B00J074W94,https://www.amazon.com.mx/dp/B00J074W94
"Birdman Falcon Protein Proteina Vegetal Organica En Polvo (Vegana) Certificada USDA, 24gr Proteina por porción, Sin inflamacion, Sin acne, Sabor Fresa | 39 servicios | 1.170kg",BIRDMAN,Salud y Cuidado Personal,1,Proteina Sarcopenia,854.2,925.22,76,84,3316,4.7,854.2,647.81,206.39,6,7,6,373,573,41,328,286353.4,1.33%,1.23%,86,35413.61,1/23/2021,,TRUE,2.98,FBA,3,B08TYZ7L1M,https://www.amazon.com.mx/dp/B08TYZ7L1M
"Medical Solutions Fancy Pets Aceite de Salmon para Perros y Gatos 490ml | Omega 3 con DHA y EPA | Suplemento para Piel Sana, Pelaje Brillante y Sistema Inmune Fuerte",Medical Solutions,Productos para animales,1,Proteina Pet Care,286,267.72,61,80,1166,4.5,286,175.38,110.62,6,10,4,53,50,2,1000,286000,8.11%,3.43%,245,43845,11/6/2024,,TRUE,1.06,MCH,2,B0DM9Q93RR,https://www.amazon.com.mx/dp/B0DM9Q93RR
"HS HERO SPORT Protein Pure and Natural 1kg. 100% Proteína Aislada, 27g de Proteína, 0 Azúcar, 0 carbs, 0 Flavor, Gluten Fre, Bottle Free, 33 Porciones.",HEROSPORTS,Salud y Cuidado Personal,3,Proteina De Levadura | Proteina Nutraceutico | Proteina Sarcopenia,935,695,77,82,341,4.6,935,717.97,217.03,8,0,1,766,629,679,306,283401.8,1.17%,1.36%,831,219698.82,3/21/2023,,TRUE,2.34,FBA,8,B0BZWMJ6X8,https://www.amazon.com.mx/dp/B0BZWMJ6X8
"Birdman Falcon Performance Proteina Premium Alto Rendimiento En Polvo, 30gr proteina y 3gr Creatina por porción, Sin Inflamacion, Sin Acne, Sabor Choco Bronze | 26 servicios | 1.14kg",BIRDMAN,Salud y Cuidado Personal,2,Proteina Baja En Sodio | Proteina De Levadura,1064,969.81,78,69,1905,4.7,1064,826.21,237.79,7,7,3,850,751,649,263,273641.7,1.01%,1.31%,144,72431.08,3/11/2020,,TRUE,2.95,FBA,1,B085WB83B5,https://www.amazon.com.mx/dp/B085WB83B5
"Glucerna - En Polvo Sabor Vainilla 400g, Control de Azúcar, Carbohidratos de Rápida Absorción, con Proteína y Fibra, Vitaminas y Minerales, Sin Azúcar, Clínicamente Comprobado",Glucerna,Salud y Cuidado Personal,1,Proteina De Levadura,388,345.71,70,91,1015,4.8,388,270.51,117.49,7,0,1,228,210,2,770,273225,2.95%,1.31%,269,208292.7,4/29/2018,,TRUE,1.12,MCH,1,B07CNCBJKG,https://www.amazon.com.mx/dp/B07CNCBJKG
